steering_angle,speed,rpm,acceleration,throttle_position,engine_temperature,voltage,distance,latitude,longitude,heart_rate,current_weather,temperature,precipitation,accidents_onsite
38.7,0,663.0,0.0,12.94117647,89.0,12.8,0.0,-0.330874831,-78.43229134,66,2,24.6,0.5,21
38.7,0,665.0,0.0,12.94117647,89.0,12.8,0.0,-0.330874831,-78.43229134,66,2,24.6,0.5,21
35.8,0,668.0,0.0,12.94117647,89.0,12.8,0.0,-0.330874831,-78.43229134,66,2,24.6,0.5,21
35.5,0,670.0,0.0,12.94117647,89.0,12.8,0.0,-0.330874831,-78.43229134,66,2,24.6,0.5,21
35.5,0,664.0,0.0,12.94117647,89.0,12.8,0.0,-0.330874831,-78.43229134,66,2,24.6,0.5,21
35.5,0,673.0,0.0,12.94117647,89.0,12.8,0.0,-0.330874831,-78.43229134,66,2,24.6,0.5,21
35.5,0,668.0,0.0,12.94117647,89.0,12.8,0.0,-0.330874831,-78.43229134,66,2,24.6,0.5,21
35.5,0,665.0,0.0,12.94117647,89.0,12.8,0.0,-0.330864564,-78.43229955,66,2,24.6,0.5,21
35.5,0,681.0,0.0,12.94117647,89.0,12.8,0.0,-0.330844363,-78.43229393,66,2,24.6,0.5,21
35.5,0,672.0,0.0,12.94117647,89.0,12.8,0.0,-0.330844363,-78.43229393,66,2,24.6,0.5,21
35.5,0,665.0,0.0,12.94117647,89.0,12.8,0.0,-0.330863977,-78.43232797,66,2,24.6,0.5,21
35.5,0,669.0,0.0,12.94117647,89.0,12.8,0.0,-0.33087634,-78.43234791,66,2,24.6,0.5,21
35.5,0,672.0,0.0,12.94117647,89.0,12.8,0.0,-0.33087634,-78.43234791,66,2,24.6,0.5,21
35.5,0,670.0,0.0,12.94117647,89.0,12.8,0.0,-0.33087634,-78.43234791,66,2,24.6,0.5,21
35.5,0,669.0,0.0,12.94117647,89.0,12.8,0.0,-0.33087634,-78.43234791,69,2,24.6,0.5,21
35.5,0,668.0,0.0,12.94117647,89.0,12.8,0.0,-0.33087634,-78.43234791,69,2,24.6,0.5,21
35.7,0,671.0,0.0,12.94117647,89.0,12.8,0.0,-0.33087634,-78.43234791,69,2,24.6,0.5,21
35.9,0,670.0,0.0,12.94117647,89.0,12.8,0.0,-0.33087634,-78.43234791,69,2,24.6,0.5,21
38.6,0,677.0,0.0,12.94117647,89.0,12.7,0.0,-0.33087634,-78.43234791,72,2,24.6,0.5,21
55.5,0,945.0,0.0,21.56862745,89.0,12.8,0.0,-0.33087634,-78.43234791,72,2,24.6,0.5,21
64.4,0,1565.0,0.0,17.64705882,89.0,12.8,0.0,-0.33087634,-78.43234791,72,2,24.6,0.5,21
84.8,1,1449.0,0.169362463189238,16.07843137,89.0,12.9,0.000187541,-0.33087634,-78.43234791,72,2,24.6,0.5,21
84.8,1,915.0,0.199199936561991,15.29411765,89.0,12.8,0.000187541,-0.33087655,-78.43234615,72,2,24.6,0.5,21
77.4,0,844.0,-0.20811000008674,15.29411765,89.0,12.8,0.0,-0.330882166,-78.43234305,75,2,24.6,0.5,21
39.5,1,855.0,0.206434706886291,14.11764706,89.0,12.8,8.946099999999999e-05,-0.330882249,-78.43234632,76,2,24.6,0.5,21
39.3,0,958.0,0.0,16.07843137,89.0,12.9,0.0,-0.330887069,-78.43234641,76,2,24.6,0.5,21
33.2,0,660.0,0.0,21.56862745,89.0,12.8,0.0,-0.330887069,-78.43234641,76,2,24.6,0.5,21
68.3,1,1593.0,0.215764695584539,32.54901961,89.0,12.8,0.00018735400000000004,-0.330887069,-78.43234641,76,2,24.6,0.5,21
119.7,6,1789.0,1.22668486085652,34.50980392,89.0,12.8,0.000852122,-0.330885518,-78.43234272,76,2,24.6,0.5,21
79.1,12,1683.0,1.82530555432449,33.33333333,90.0,12.9,0.003207224,-0.330872526,-78.43233132,76,2,24.6,0.5,21
-25.9,19,2708.0,1.74873509062642,41.17647059,89.0,12.9,0.006055545999999999,-0.330847003,-78.43230927,73,2,24.6,0.5,21
-25.2,25,3279.0,1.69914579608009,43.1372549,90.0,12.9,0.006523892999999999,-0.330819176,-78.43228907,73,2,24.6,0.5,21
-0.5,25,2904.0,1.30005910068672,36.8627451,90.0,12.9,0.006366849000000001,-0.330779823,-78.4322537,72,2,24.6,0.5,21
-1.1,28,2109.0,0.870279255033299,38.03921569,90.0,12.9,0.007692576999999999,-0.330736027,-78.43220576,72,2,24.6,0.5,20
-1.1,30,2281.0,0.865857157761018,38.82352941,89.0,12.9,0.007105512000000001,-0.330692902,-78.43215245,72,2,24.6,0.5,20
-0.6,33,2486.0,0.645121167948006,38.82352941,89.0,12.9,0.009293639,-0.330647179,-78.43209151,72,2,24.6,0.5,19
-0.9,36,2683.0,0.856327745674907,40.0,89.0,12.9,0.009339272000000003,-0.330597935,-78.4320299,70,2,24.6,0.5,19
3.6,38,2825.0,0.864448172809414,40.39215686,89.0,12.9,0.010497142999999994,-0.330539052,-78.4319605,70,2,24.6,0.5,19
7.4,38,2883.0,0.319196564372467,25.49019608,89.0,12.7,0.011013016,-0.330477152,-78.43188716,70,2,24.6,0.5,19
7.4,39,2924.0,0.3167909291758,24.70588235,89.0,12.8,0.009834144000000003,-0.330407876,-78.43180971,70,2,24.6,0.5,18
1.9,40,3015.0,0.216328061331947,33.33333333,89.0,12.8,0.011035490999999994,-0.330342036,-78.43173075,70,2,24.6,0.5,18
4.2,42,3116.0,0.630575071854029,34.11764706,88.0,12.8,0.011765981000000009,-0.330275735,-78.43165331,69,2,24.6,0.5,18
7.5,41,2354.0,-0.208890747849432,36.8627451,88.0,12.8,0.011382007999999999,-0.330209183,-78.43157183,69,2,24.6,0.5,18
7.5,40,2028.0,-0.326423745640537,26.2745098,88.0,12.8,0.007634368999999988,-0.330138523,-78.43149229,69,2,24.6,0.5,18
2.1,41,2031.0,0.0,34.90196078,88.0,12.8,0.014750940000000018,-0.330071133,-78.43141132,69,2,24.6,0.5,17
7.1,40,2011.0,0.0,22.35294118,88.0,12.8,0.01039137699999998,-0.330006173,-78.43133287,69,2,24.6,0.5,17
7.1,40,1985.0,-0.142811727095792,21.17647059,88.0,12.8,0.011288960000000015,-0.329938699,-78.43125047,69,2,24.6,0.5,16
5.0,39,1952.0,0.0,23.92156863,88.0,12.8,0.009562764000000001,-0.329876505,-78.43117487,69,2,24.6,0.5,16
7.2,38,1886.0,-0.16587974642003,18.82352941,88.0,12.8,0.01120359700000001,-0.329819676,-78.4311037,69,2,24.6,0.5,15
11.6,37,1857.0,-0.210767129881391,29.01960784,89.0,12.8,0.01071467199999998,-0.329759871,-78.43103053,68,2,24.6,0.5,15
10.3,37,1865.0,0.0,31.37254902,89.0,12.8,0.011558237999999998,-0.329702413,-78.4309561,68,2,24.6,0.5,13
17.1,38,1901.0,0.190855593947303,44.70588235,89.0,12.8,0.011502335000000002,-0.32963959,-78.4308851,68,2,24.6,0.5,12
5.1,39,1932.0,0.206568755885712,47.84313725,89.0,12.8,0.009774691000000002,-0.329572703,-78.43081528,68,2,24.6,0.5,12
2.0,39,1978.0,0.223120953422609,48.62745098,89.0,12.8,0.011388243999999992,-0.329504432,-78.43074177,68,2,24.6,0.5,12
-3.8,40,2030.0,0.211480582068665,50.19607843,89.0,12.8,0.010884255000000037,-0.329434862,-78.43066466,68,2,24.6,0.5,8
-3.8,41,2058.0,0.426620479709644,51.76470588,90.0,12.8,0.011387703999999998,-0.32936194,-78.43058336,68,2,24.6,0.5,8
-3.7,42,2113.0,0.207531437048862,54.50980392,90.0,12.8,0.011760335999999982,-0.329295807,-78.43049828,67,2,24.6,0.5,8
-7.2,43,2159.0,0.325306048743923,54.90196078,90.0,12.8,0.012096196999999975,-0.329234158,-78.43040884,67,2,24.6,0.5,8
-4.5,44,2193.0,0.310336013401352,38.43137255,90.0,12.8,0.00929778600000003,-0.32916924,-78.43031094,67,2,24.6,0.5,7
-4.1,44,2198.0,0.39792574678506,20.39215686,90.0,12.8,0.013004890999999963,-0.329106837,-78.43021028,67,2,24.6,0.5,7
-3.9,43,1671.0,-0.202439170126696,34.90196078,90.0,12.8,0.011286472000000047,-0.329049672,-78.43010793,66,2,24.6,0.5,6
-3.4,43,1690.0,0.0,35.68627451,90.0,12.8,0.012940357999999985,-0.328995693,-78.43000744,66,2,24.6,0.5,6
-3.3,44,1705.0,0.202316157452274,36.07843137,90.0,12.8,0.012358034000000018,-0.328945904,-78.42990576,66,2,24.6,0.5,7
-6.9,45,1751.0,0.391754305238783,36.47058824,90.0,12.8,0.01379648,-0.32890148,-78.42979881,66,2,24.6,0.5,7
-2.3,46,1782.0,0.411111765601042,37.64705882,90.0,12.8,0.01228639499999995,-0.328861247,-78.42968817,66,2,24.6,0.5,7
-1.8,47,1810.0,0.419607348395508,39.21568627,90.0,12.8,0.008532660000000025,-0.328823277,-78.4295725,66,2,24.6,0.5,6
5.1,48,1864.0,0.40731939926254,38.03921569,90.0,12.8,0.017034435999999986,-0.328785265,-78.42945054,67,2,24.6,0.5,6
7.1,49,1888.0,0.300581791085736,39.21568627,90.0,12.8,0.007648222000000038,-0.328747588,-78.42932557,67,2,24.6,0.5,6
4.1,51,1971.0,0.343235852429123,37.64705882,90.0,12.8,0.020530813999999953,-0.328710247,-78.42920068,67,2,24.6,0.5,6
2.4,52,2028.0,0.429017059623126,49.41176471,90.0,12.8,0.013234170000000045,-0.328667834,-78.42907243,67,2,24.6,0.5,5
2.3,54,2096.0,0.471151976948984,50.19607843,90.0,12.8,0.015798429000000003,-0.328628356,-78.42894092,67,2,24.6,0.5,5
6.5,55,2150.0,0.586448901768871,37.25490196,90.0,12.8,0.014506597999999982,-0.328590637,-78.42880371,67,2,24.6,0.5,5
10.5,57,2187.0,0.419912548676683,27.45098039,90.0,12.8,0.016456289000000013,-0.328555559,-78.42866356,67,2,24.6,0.5,5
10.5,57,2199.0,0.397045019441865,25.49019608,90.0,12.8,0.016703919999999983,-0.328517966,-78.42852199,67,2,24.6,0.5,5
8.3,57,2195.0,0.0,20.78431373,89.0,12.8,0.01501727900000005,-0.328475847,-78.4283785,67,2,24.6,0.5,4
6.7,57,2189.0,0.0,37.25490196,89.0,12.8,0.015453703999999902,-0.328431213,-78.42823684,67,2,24.6,0.5,4
5.2,57,2207.0,0.392219562502925,22.74509804,89.0,12.8,0.01620418400000001,-0.328388843,-78.42809351,66,2,24.6,0.5,5
5.3,56,2205.0,-0.214654616643383,19.21568627,89.0,12.8,0.011299810000000021,-0.328342784,-78.4279501,66,2,24.6,0.5,5
5.1,56,2183.0,-0.333250227391626,28.23529412,89.0,12.8,0.015468008000000033,-0.328301084,-78.4278092,66,2,24.6,0.5,5
4.6,57,2214.0,0.414738856775659,34.11764706,89.0,12.8,0.015281420999999962,-0.328256199,-78.42766746,66,2,24.6,0.5,5
6.5,57,2205.0,0.208397108058327,16.8627451,88.0,12.9,0.01673706500000005,-0.328213368,-78.42752446,66,2,24.6,0.5,5
6.2,51,1985.0,-1.19919838864192,16.47058824,88.0,12.8,0.01298471999999995,-0.328173763,-78.42738926,66,2,24.6,0.5,5
6.2,44,2111.0,-1.66693862770378,14.90196078,88.0,12.8,0.012185796999999998,-0.328136464,-78.42727317,66,2,24.6,0.5,5
7.5,37,1889.0,-1.54863547792246,14.90196078,88.0,12.8,0.010107281999999995,-0.328104696,-78.42717209,66,2,24.6,0.5,5
7.2,31,1543.0,-1.64759521656646,14.50980392,88.0,12.8,0.008625078000000008,-0.328077036,-78.42708928,66,2,24.6,0.5,5
6.8,25,1259.0,-1.35632649308431,14.11764706,88.0,12.8,0.0071201509999999635,-0.328063541,-78.42701836,66,2,24.6,0.5,6
7.7,21,1062.0,-0.819693671622223,14.11764706,88.0,12.8,0.00547704800000004,-0.328047867,-78.42696405,66,2,24.6,0.5,6
9.3,18,902.0,-0.917891620571067,13.7254902,88.0,12.8,0.004067433000000009,-0.328032151,-78.4269203,66,2,24.6,0.5,6
6.6,14,710.0,-1.04727437585778,14.50980392,88.0,12.8,0.00381570100000006,-0.328019494,-78.42687956,66,2,24.6,0.5,6
4.0,10,804.0,-0.866844208496386,15.68627451,88.0,12.8,0.002583622999999924,-0.328011992,-78.42685014,65,2,24.6,0.5,6
13.7,8,912.0,-0.666558524211699,13.7254902,88.0,12.7,0.0013776960000000393,-0.328006293,-78.42683145,65,2,24.6,0.5,6
15.6,4,915.0,-0.88837850951265,13.7254902,88.0,12.7,0.0012280150000000267,-0.328002353,-78.4268177,65,2,24.6,0.5,6
15.6,2,820.0,-0.715598274864303,13.7254902,89.0,12.7,0.0004886289999999072,-0.328001431,-78.4268115,65,2,24.6,0.5,6
15.9,0,791.0,-0.396280982237894,13.7254902,89.0,12.8,0.0,-0.328001431,-78.4268115,65,2,24.6,0.5,6
15.4,0,813.0,0.0,13.7254902,89.0,12.7,0.0,-0.328001599,-78.42681125,65,2,24.6,0.5,6
15.9,0,743.0,0.0,13.33333333,89.0,12.7,0.0,-0.328001641,-78.42681142,65,2,24.6,0.5,6
16.1,0,681.0,0.0,13.33333333,89.0,12.7,0.0,-0.328001641,-78.42681142,65,2,24.6,0.5,6
16.2,0,686.0,0.0,13.33333333,89.0,12.7,0.0,-0.328001641,-78.42681142,65,2,24.6,0.5,6
16.2,0,681.0,0.0,13.33333333,89.0,12.7,0.0,-0.328001641,-78.42681142,65,2,24.6,0.5,6
16.2,0,674.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,65,2,24.6,0.5,6
16.6,0,692.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,62,2,24.6,0.5,6
16.9,0,700.0,0.0,13.33333333,90.0,12.8,0.0,-0.328001641,-78.42681142,62,2,24.6,0.5,6
17.0,0,695.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,62,2,24.6,0.5,6
17.1,0,682.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,62,2,24.6,0.5,6
17.4,0,684.0,0.0,13.33333333,90.0,12.8,0.0,-0.328001641,-78.42681142,62,2,24.6,0.5,6
17.4,0,685.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,62,2,24.6,0.5,6
17.4,0,662.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,62,2,24.6,0.5,6
17.4,0,665.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
17.8,0,661.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
17.8,0,666.0,0.0,13.33333333,90.0,12.8,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
17.8,0,660.0,0.0,13.33333333,90.0,12.8,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
18.2,0,664.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
18.2,0,665.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
18.2,0,667.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
18.5,0,665.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
18.5,0,662.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
18.5,0,659.0,0.0,13.33333333,90.0,12.8,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
18.5,0,660.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
18.9,0,665.0,0.0,13.33333333,91.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
18.9,0,663.0,0.0,13.33333333,91.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
18.9,0,663.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
18.9,0,666.0,0.0,13.33333333,91.0,12.8,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
19.0,0,667.0,0.0,13.33333333,91.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
19.0,0,663.0,0.0,13.33333333,91.0,12.8,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
19.0,0,670.0,0.0,13.33333333,91.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
19.0,0,667.0,0.0,13.33333333,91.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
19.0,0,673.0,0.0,13.33333333,91.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
19.0,0,721.0,0.0,15.29411765,91.0,12.8,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
19.0,0,1153.0,0.0,16.07843137,91.0,12.8,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
19.0,0,1249.0,0.0,14.50980392,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
19.8,0,818.0,0.0,14.11764706,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
20.7,0,703.0,0.0,13.7254902,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
22.4,0,693.0,0.0,13.7254902,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
23.7,0,636.0,0.0,13.7254902,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
24.1,0,666.0,0.0,14.11764706,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
24.4,0,662.0,0.0,13.7254902,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
25.6,0,741.0,0.0,13.7254902,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
27.9,0,746.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
21.2,0,714.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
20.7,0,692.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
20.7,0,676.0,0.0,13.33333333,90.0,12.8,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
20.7,0,674.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
20.7,0,678.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
0.0,0,670.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
20.7,0,671.0,0.0,13.33333333,90.0,12.8,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
20.7,0,670.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
20.7,0,1110.0,0.0,27.84313725,90.0,12.8,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
33.5,6,1724.0,1.18442883525163,32.54901961,90.0,12.8,0.0008772860000000327,-0.328001641,-78.42681142,59,2,24.6,0.5,6
32.7,13,1855.0,2.09366624240614,35.29411765,90.0,12.7,0.00328772300000002,-0.328000425,-78.42680178,59,2,24.6,0.5,6
2.2,20,2814.0,1.84322188697703,41.56862745,90.0,12.8,0.005072136000000005,-0.32799284,-78.42677185,59,2,24.6,0.5,6
2.7,23,3134.0,1.9814080676707,25.49019608,90.0,12.8,0.004929775000000025,-0.327980896,-78.42672768,63,2,24.6,0.5,6
-2.0,27,2261.0,1.11426090383407,37.64705882,89.0,12.7,0.007022050999999974,-0.32796673,-78.42666834,63,2,24.6,0.5,6
-2.5,31,2323.0,1.25911999499172,38.03921569,89.0,12.8,0.008084957000000004,-0.327949086,-78.42660137,63,2,24.6,0.5,6
8.2,34,2573.0,1.06249491383685,28.23529412,89.0,12.8,0.009418574000000013,-0.327930604,-78.42652274,63,2,24.6,0.5,6
8.2,35,2645.0,0.835415857984116,31.76470588,88.0,12.8,0.0029634170000000237,-0.327930604,-78.42652274,65,2,24.6,0.5,6
1.5,39,2921.0,0.981587499475341,36.8627451,88.0,12.8,0.020813097000000003,-0.32788136,-78.42634454,65,2,24.6,0.5,6
1.6,41,2038.0,0.441407104502081,29.41176471,88.0,12.8,0.010341266999999932,-0.327856634,-78.42624446,65,2,24.6,0.5,6
-6.2,43,2158.0,0.636173059735149,28.62745098,87.0,12.7,0.01152710400000001,-0.327827926,-78.4261417,65,2,24.6,0.5,6
-6.1,45,2251.0,0.650315041219829,19.60784314,87.0,12.8,0.012382595000000052,-0.327801355,-78.4260345,64,2,24.6,0.5,6
-8.9,46,2314.0,0.450088591387531,20.78431373,87.0,12.8,0.011878450999999957,-0.327780233,-78.42592168,64,2,24.6,0.5,6
-10.3,48,2403.0,0.420782051888301,20.0,87.0,12.8,0.013692091999999989,-0.327765187,-78.42580316,64,2,24.6,0.5,5
-18.8,49,2473.0,0.596456997717001,19.21568627,88.0,12.8,0.01289785600000004,-0.327754752,-78.42568045,65,2,24.6,0.5,5
-20.5,50,2526.0,0.435307309199757,17.25490196,88.0,12.8,0.014929248999999922,-0.327754752,-78.42568045,65,2,24.6,0.5,5
-22.2,51,2556.0,0.201809366271367,17.64705882,88.0,12.8,0.012158629000000087,-0.32775999,-78.42555237,65,2,24.6,0.5,6
-13.5,52,2599.0,0.253512580315891,17.64705882,88.0,12.8,0.014171569999999911,-0.32778346,-78.42542589,65,2,24.6,0.5,6
